timestamp,open,high,low,close,volume
4/17/2024,3085.41,3124.03,2914.01,2984.98,122585.7756
4/16/2024,3103.4,3128.28,2990,3085.25,117411.005
4/15/2024,3158.2,3281.21,3025,3103.13,129021.8761
4/14/2024,3012.01,3175.72,2911.23,3158.06,160742.9329
4/13/2024,3238.98,3302.32,2850,3011.39,241260.3461
4/12/2024,3503.06,3553.03,3100,3239.31,158974.4186
4/11/2024,3546.07,3617.97,3473.6,3503.06,73843.0683
4/10/2024,3504.24,3562.51,3411.59,3546,83472.76786
4/9/2024,3694.26,3726.79,3450.6,3504.58,104295.6654
4/8/2024,3453.69,3729.16,3406.93,3694.56,117580.324
4/7/2024,3352.87,3459.52,3345.36,3453.67,40642.58459
4/6/2024,3319.1,3398.8,3308.7,3352.66,35789.96297
4/5/2024,3329.41,3348.33,3210.99,3319.26,82464.5087
4/4/2024,3312.42,3444.95,3251.91,3329.39,108312.2115
4/3/2024,3279.71,3369.43,3202.8,3312.43,99323.08867
4/2/2024,3505.95,3507.69,3211.41,3279.64,148814.9657
4/1/2024,3645.55,3646.38,3413.86,3505.85,97053.82916
3/31/2024,3507.31,3654.87,3505.76,3645.48,53825.13202
3/30/2024,3511.21,3568.13,3488.08,3507.51,49286.06943
3/29/2024,3561.12,3584.9,3473.42,3511.08,60142.83952
3/28/2024,3499.62,3612.3,3462.44,3561.1,82506.63592
3/27/2024,3587.5,3665.95,3458,3499.56,113287.8406
3/26/2024,3590.61,3681.9,3544,3587.67,97999.11895
3/25/2024,3454.88,3661.7,3418.61,3591.02,119411.5712
3/24/2024,3330.28,3471.22,3300,3454.67,60606.08564
3/23/2024,3337.38,3436.39,3271.47,3330.05,94959.72107
3/22/2024,3491.78,3542.56,3250.33,3337.41,163488.1094
3/21/2024,3517.02,3586.59,3410.45,3491.78,148636.0045
3/20/2024,3156.94,3536.72,3057.5,3516.68,324768.0338
3/19/2024,3520.52,3547.97,3147.81,3156.97,257986.0719
3/18/2024,3641.51,3642.56,3454.3,3520.66,119847.0523
3/17/2024,3520.24,3676.76,3410.78,3641.02,109583.5422
3/16/2024,3743.29,3781.4,3466.55,3520.1,116692.6818
3/15/2024,3880.45,3932.39,3566.38,3742.95,252124.7992
3/14/2024,4007.79,4013.25,3714.53,3880.45,190612.3456
3/13/2024,3980.31,4085.57,3934.52,4007.7,133886.8277
3/12/2024,4066.95,4093.88,3828.83,3980.34,174639.8182
3/11/2024,3882.48,4091.67,3730.72,4066.21,189041.0703
3/10/2024,3913.84,3972.17,3800.01,3881.96,84572.21008
3/9/2024,3892.62,3951.37,3880,3913.55,62180.56432
